configuration,feature_mode,dimension,feature_map,feature_map_reps,train_requested,train_used,validation_requested,validation_used,classical_C,quantum_C,classical_accuracy,quantum_accuracy,quantum_cv_mean,quantum_cv_std,quantum_core_seconds,git_hash_recorded_at_run
QSVM_model_14-exact-3480-2320-Cs1_Cq0.1-hybrid,hybrid,14,ZZ,2,3480,3480,2320,1160,1.0,0.1,0.8974137931034483,0.5301724137931034,0.5215517241379309,0.01275421897768516,10835.43446135521,47c928b
QSVM_model_14-exact-3480-2320-Cs1_Cq0.1-r1-hybrid,hybrid,14,ZZ,1,3480,3480,2320,1160,1.0,0.1,0.8974137931034483,0.5741379310344827,0.5698275862068966,0.02467920753285503,10446.566998958588,47c928b
QSVM_model_14-exact-3480-2320-Cs1_Cq0.1-r1-stylometric_direct,stylometric_direct,14,ZZ,1,3480,3480,2320,1160,1.0,0.1,0.9086206896551724,0.5594827586206896,0.5660919540229885,0.014986672195868137,10447.777577161789,47c928b
QSVM_model_14-exact-3480-2320-Cs1_Cq0.1-stylometric_direct,stylometric_direct,14,ZZ,2,3480,3480,2320,1160,1.0,0.1,0.9086206896551724,0.6,0.5727011494252874,0.010304839699448919,10866.394817113876,47c928b
QSVM_model_14-exact-3480-2320-Cs1_Cq1-hybrid,hybrid,14,ZZ,2,3480,3480,2320,1160,1.0,1.0,0.8974137931034483,0.7655172413793103,0.7471264367816093,0.011848004671315138,8526.110223770142,47c928b
QSVM_model_14-exact-3480-2320-Cs1_Cq1-r1-hybrid,hybrid,14,ZZ,1,3480,3480,2320,1160,1.0,1.0,0.8974137931034483,0.7517241379310344,0.7554597701149425,0.014407989812323753,10430.529442071915,47c928b
QSVM_model_14-exact-3480-2320-Cs1_Cq1-r1-stylometric_direct,stylometric_direct,14,ZZ,1,3480,3480,2320,1160,1.0,1.0,0.9086206896551724,0.771551724137931,0.7724137931034483,0.015437213814440565,10446.020147562027,47c928b
QSVM_model_14-exact-3480-2320-Cs1_Cq1-stylometric_direct,stylometric_direct,14,ZZ,2,3480,3480,2320,1160,1.0,1.0,0.9086206896551724,0.781896551724138,0.7683908045977011,0.005631010902949834,8524.146550416946,47c928b
QSVM_model_14-exact-3480-2320-Cs1_Cq10-hybrid,hybrid,14,ZZ,2,3480,3480,2320,1160,1.0,10.0,0.8974137931034483,0.7698275862068965,0.7511494252873563,0.007785182289737981,10823.67562174797,47c928b
QSVM_model_14-exact-3480-2320-Cs1_Cq10-r1-hybrid,hybrid,14,ZZ,1,3480,3480,2320,1160,1.0,10.0,0.8974137931034483,0.7689655172413793,0.7632183908045976,0.015405086383540458,10434.595187187195,47c928b
QSVM_model_14-exact-3480-2320-Cs1_Cq10-r1-stylometric_direct,stylometric_direct,14,ZZ,1,3480,3480,2320,1160,1.0,10.0,0.9086206896551724,0.7862068965517242,0.7807471264367816,0.011728926225263522,10444.36716723442,47c928b
QSVM_model_14-exact-3480-2320-Cs1_Cq10-stylometric_direct,stylometric_direct,14,ZZ,2,3480,3480,2320,1160,1.0,10.0,0.9086206896551724,0.7913793103448276,0.7775862068965518,0.009059702741628995,10867.0052216053,47c928b
